budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,converted
100000,59,19,2,5,0,1,32,0
300000,39,49,11,3,0,1,33,0
500000,15,20,8,6,0,0,30,0
2000000,74,3,18,4,0,0,6,0
300000,89,2,15,5,1,0,5,0
5000000,75,24,8,5,0,0,25,1
500000,16,35,1,2,0,1,59,1
200000,80,33,14,6,1,0,48,0
750000,79,21,14,4,0,1,68,1
5000000,54,48,13,4,0,1,11,1
100000,25,15,16,4,0,1,17,1
300000,44,34,13,3,1,1,18,1
200000,7,8,15,5,0,0,16,0
750000,12,10,19,3,0,0,5,1
100000,31,29,14,2,0,0,58,0
200000,51,28,7,6,1,1,14,0
5000000,6,41,2,4,0,0,12,0
300000,1,22,2,5,1,0,43,1
5000000,16,17,14,3,0,0,72,1
100000,13,20,16,5,0,1,3,1
750000,75,25,1,4,1,1,65,1
500000,45,44,9,2,1,1,53,1
200000,21,48,11,2,0,0,10,1
100000,90,8,5,6,1,0,27,0
300000,62,40,17,2,0,1,58,0
500000,57,48,15,2,1,0,19,1
100000,74,50,20,4,1,0,3,1
200000,27,11,12,3,0,1,70,0
1000000,33,6,9,3,0,0,9,0
750000,51,11,17,2,0,1,61,1
300000,40,46,19,6,0,1,3,0
5000000,61,15,1,6,0,0,53,0
2000000,41,19,18,5,1,0,37,1
750000,72,37,3,4,0,0,37,1
100000,88,32,2,6,0,1,6,0
500000,63,22,11,4,0,0,50,1
750000,35,0,19,3,1,0,13,1
1000000,61,3,5,6,0,1,72,0
5000000,80,40,13,4,1,0,20,0
200000,46,45,14,2,1,1,44,1
500000,3,49,5,2,1,1,3,1
1000000,45,0,0,6,0,0,14,0
100000,74,35,18,2,0,1,2,0
1000000,61,6,9,4,1,0,71,1
2000000,30,10,8,2,1,1,60,1
300000,46,50,13,6,1,0,44,1
750000,71,11,2,5,1,1,61,0
100000,8,22,8,1,0,1,25,0
1000000,88,35,8,6,0,0,4,1
750000,83,7,0,1,1,0,0,0
1000000,36,1,8,5,1,1,28,1
200000,14,4,0,5,1,0,4,0
500000,77,26,17,2,0,0,51,1
500000,31,12,11,1,1,1,46,1
750000,8,6,8,2,0,0,33,0
100000,64,1,20,6,0,1,1,0
1000000,62,31,1,2,0,1,18,0
200000,83,0,11,6,1,1,19,0
1000000,5,33,18,2,1,1,71,1
300000,16,20,20,5,0,0,17,1
100000,28,0,3,3,0,0,54,0
5000000,15,18,14,2,0,0,21,1
2000000,61,36,7,1,1,1,71,0
750000,86,28,5,4,0,0,14,0
5000000,78,43,12,5,1,0,42,1
200000,66,36,7,2,1,0,13,0
1000000,85,14,1,6,0,1,59,0
200000,77,25,14,6,1,0,5,1
1000000,7,15,15,1,0,1,32,1
750000,72,40,7,6,0,1,28,0
500000,50,41,18,3,0,0,40,1
5000000,34,13,19,4,0,0,69,1
2000000,26,21,13,5,0,1,23,0
2000000,3,1,20,3,1,0,39,1
2000000,78,39,17,3,0,1,71,1
100000,43,39,9,3,0,0,12,0
500000,84,38,1,2,1,0,42,0
750000,12,3,5,6,1,1,55,1
500000,28,10,5,5,1,0,46,1
300000,55,25,11,5,1,0,0,0
200000,75,33,5,6,0,1,28,0
5000000,27,50,0,1,1,1,71,1
300000,16,43,7,5,0,1,54,1
500000,20,39,19,4,1,1,52,1
2000000,14,8,18,2,1,1,28,1
750000,58,13,18,4,1,0,57,1
5000000,64,22,18,1,0,0,46,1
100000,45,24,20,4,1,1,12,0
500000,83,38,17,5,0,1,36,0
5000000,13,14,0,5,1,1,16,0
500000,43,35,10,6,0,0,65,0
100000,51,17,1,2,1,1,33,0
300000,66,21,18,2,1,1,34,1
200000,6,24,11,2,1,0,52,0
1000000,57,36,8,6,0,0,54,1
1000000,36,43,4,4,0,1,55,1
2000000,81,39,2,4,0,0,33,0
100000,86,32,14,5,1,0,44,0
750000,56,4,16,5,0,1,56,0
5000000,25,2,0,6,1,0,29,0
2000000,14,21,14,4,1,0,32,1
2000000,77,16,14,5,0,1,37,0
1000000,58,12,20,5,1,0,23,1
100000,45,24,11,6,0,1,19,0
200000,85,21,2,6,1,0,8,0
750000,33,18,10,4,1,0,7,1
100000,61,34,10,2,1,1,18,1
2000000,12,32,10,3,1,1,44,1
300000,60,4,4,3,1,1,66,0
200000,50,43,16,2,1,0,46,0
500000,6,13,7,3,0,1,57,0
200000,57,42,3,3,0,1,64,0
1000000,50,20,15,1,1,0,22,1
1000000,49,2,10,1,1,1,36,1
2000000,17,26,15,6,1,1,67,1
500000,28,26,15,1,0,0,47,1
100000,76,4,2,3,1,0,22,0
100000,69,34,5,1,0,1,54,0
200000,25,32,6,2,0,1,61,1
500000,67,24,0,5,1,0,28,0
500000,57,24,16,3,1,1,25,0
200000,30,14,8,6,0,0,23,0
2000000,18,48,0,3,1,0,5,1
1000000,61,25,13,6,1,0,40,1
200000,1,49,9,4,1,1,60,0
500000,3,43,4,2,0,0,67,0
1000000,83,10,18,6,0,1,63,1
1000000,47,20,15,4,1,0,59,1
2000000,83,42,7,6,0,1,50,1
2000000,72,36,11,4,0,0,3,0
200000,18,35,6,1,1,0,26,1
2000000,89,50,8,3,1,1,5,1
5000000,59,18,4,1,1,1,22,1
200000,12,45,11,5,1,1,68,1
200000,15,28,0,4,1,1,33,1
200000,79,3,1,5,0,1,39,0
5000000,49,11,2,1,0,0,51,0
300000,7,29,16,3,0,1,9,1
750000,39,22,3,2,0,1,28,0
300000,17,21,7,3,0,1,47,1
750000,79,47,10,1,0,1,69,1
1000000,49,29,2,1,1,0,10,1
100000,63,43,1,5,1,0,21,0
750000,48,7,19,1,0,0,40,0
5000000,68,13,9,1,0,1,20,1
200000,67,7,5,4,0,1,41,0
5000000,75,29,1,5,1,1,33,1
500000,27,1,5,5,1,0,71,1
2000000,62,32,18,4,0,0,66,1
200000,56,21,16,1,1,0,45,1
100000,38,49,19,6,1,1,14,1
500000,52,34,4,5,1,1,38,0
750000,50,17,2,3,1,1,65,1
2000000,63,39,18,1,1,0,26,1
2000000,7,1,1,3,0,0,46,0
100000,15,2,6,2,1,1,1,1
1000000,3,8,4,2,0,0,32,1
500000,16,29,15,6,1,0,24,0
100000,25,24,7,3,0,1,50,1
200000,40,32,20,4,1,0,21,1
5000000,82,31,1,1,0,0,2,0
200000,57,31,5,2,0,1,63,0
500000,4,44,3,4,1,1,22,1
1000000,13,46,18,1,0,0,62,1
2000000,52,49,13,1,0,0,46,1
750000,88,16,16,4,0,0,24,1
2000000,59,4,20,6,1,1,68,1
200000,29,44,20,6,0,0,17,1
1000000,8,19,19,3,0,0,13,0
200000,82,1,20,2,0,0,64,0
1000000,18,21,10,2,0,0,43,1
300000,47,32,5,2,1,1,30,1
500000,18,46,12,1,0,1,49,0
500000,38,35,18,6,0,1,13,0
300000,20,24,13,4,0,1,51,1
500000,66,27,9,3,1,0,1,1
1000000,63,44,4,5,1,0,65,0
100000,20,46,9,6,0,1,24,1
200000,89,40,11,1,1,0,65,1
5000000,86,27,14,2,0,1,72,1
200000,57,0,10,1,0,1,39,0
100000,0,34,8,6,0,1,56,0
1000000,33,3,20,6,0,0,47,0
200000,22,37,20,6,1,0,22,0
100000,56,11,14,6,0,1,47,0
100000,10,36,20,1,1,0,24,0
300000,28,39,19,5,1,1,5,1
200000,9,49,16,2,0,0,67,1
500000,46,20,13,3,0,0,67,1
5000000,64,44,15,6,0,0,29,1
750000,10,50,15,2,1,1,9,1
750000,53,27,17,4,0,0,72,1
750000,28,8,18,2,0,0,7,1
100000,44,39,18,2,1,0,47,0
100000,3,47,12,5,0,1,42,0
2000000,77,27,13,6,0,1,55,1
300000,48,35,7,2,1,0,15,0
2000000,20,3,19,3,0,1,51,1
5000000,28,2,7,6,1,1,12,1
200000,68,47,6,5,1,1,5,0
1000000,43,38,19,6,0,1,55,0
500000,31,42,14,3,1,1,27,1
300000,61,2,9,2,0,1,27,0
1000000,71,25,15,6,0,1,68,1
5000000,78,13,10,6,1,0,14,1
750000,8,5,8,4,1,0,13,1
500000,3,6,7,4,1,1,13,1
500000,21,9,19,3,1,0,62,1
5000000,23,6,5,5,0,1,66,1
200000,33,22,1,5,0,1,36,0
750000,68,10,10,2,0,1,29,0
5000000,12,31,9,2,0,0,19,1
100000,2,3,10,6,1,1,10,1
2000000,63,33,14,3,0,0,20,1
200000,1,24,15,3,0,1,13,1
500000,56,48,14,6,1,1,7,1
300000,8,17,6,5,0,1,48,1
750000,55,24,6,1,1,1,8,1
5000000,47,27,4,1,1,0,49,1
2000000,9,8,7,3,0,1,67,1
500000,64,35,1,4,0,0,60,0
5000000,90,1,11,4,0,1,38,0
200000,87,21,9,6,1,0,28,1
5000000,85,47,4,1,1,1,63,0
1000000,14,0,17,6,1,0,40,1
200000,14,21,19,5,0,1,17,0
200000,35,3,9,1,1,1,52,0
200000,28,8,13,3,1,0,16,0
500000,17,35,12,2,1,0,29,1
500000,22,8,20,1,1,1,4,0
1000000,5,4,9,1,0,0,69,0
200000,40,47,6,2,1,1,22,1
750000,15,2,1,5,1,1,58,1
500000,73,4,17,6,0,0,4,0
5000000,26,11,17,5,1,1,54,0
100000,17,2,18,4,0,0,36,0
100000,43,47,2,3,0,1,5,0
2000000,19,44,0,6,1,1,61,1
300000,26,49,20,3,1,1,9,0
750000,80,9,4,1,0,1,45,0
5000000,6,39,4,2,1,1,59,1
500000,41,48,2,6,0,0,40,0
100000,48,2,2,3,0,1,62,0
5000000,68,5,3,3,0,0,18,0
1000000,25,47,12,2,1,0,72,1
5000000,88,22,16,5,1,0,5,0
750000,79,46,16,3,0,1,35,1
750000,65,42,14,6,1,0,33,0
500000,62,29,5,5,0,1,2,1
1000000,40,25,17,3,0,0,53,0
5000000,82,33,8,6,0,0,54,1
100000,13,48,19,3,1,1,48,1
500000,17,27,1,3,0,1,49,1
750000,24,5,14,6,0,0,56,1
200000,42,7,0,3,1,0,35,0
200000,17,12,12,1,1,1,52,1
300000,54,27,3,4,0,0,69,0
100000,75,15,1,6,0,1,54,0
2000000,38,40,4,2,0,1,60,0
2000000,60,4,11,2,1,1,0,1
500000,2,27,18,1,0,0,18,0
300000,24,4,8,4,0,1,31,0
100000,84,47,4,1,1,0,66,0
750000,0,9,2,6,1,0,54,1
750000,8,48,14,1,1,0,56,0
750000,84,19,4,6,1,0,41,1
200000,67,50,20,5,0,1,9,0
5000000,89,46,20,3,1,0,38,1
2000000,36,6,8,6,0,0,25,0
200000,32,31,19,4,0,1,1,0
1000000,82,23,20,6,1,0,70,0
1000000,14,41,19,5,1,0,31,0
200000,72,28,18,5,1,0,27,1
5000000,69,0,11,2,1,0,30,1
750000,36,39,1,5,1,0,41,1
5000000,49,6,5,4,1,0,2,1
5000000,61,25,19,3,0,0,1,0
200000,82,11,8,6,1,0,52,1
2000000,75,13,13,4,1,1,67,1
100000,56,2,18,6,1,1,29,0
200000,42,40,8,1,0,0,72,0
300000,0,45,20,3,1,1,72,1
1000000,70,0,1,2,1,1,29,0
100000,41,0,18,4,0,0,51,0
100000,31,29,9,5,0,1,44,0
5000000,29,33,1,4,0,1,43,1
300000,34,38,5,4,0,0,2,0
500000,71,2,0,1,0,0,27,0
200000,34,35,9,6,0,0,42,0
2000000,47,48,0,6,1,0,7,1
200000,69,38,2,1,0,0,30,0
300000,25,0,14,3,0,1,47,0
1000000,0,17,17,1,0,1,30,1
750000,37,34,18,6,1,0,71,0
100000,37,39,15,6,0,0,57,0
1000000,50,43,11,1,1,0,70,0
750000,90,11,1,6,0,1,35,0
1000000,14,10,15,2,1,0,32,1
200000,53,27,10,4,1,0,71,1
1000000,87,24,12,6,1,0,70,1
300000,39,5,17,5,1,1,1,0
300000,2,6,8,4,1,1,27,1
200000,14,16,5,6,1,0,10,1
500000,87,9,6,1,1,0,9,0
500000,21,8,19,1,0,0,4,1
750000,21,22,16,5,1,0,19,0
5000000,4,19,6,2,1,0,71,1
200000,64,41,10,5,1,0,23,1
2000000,25,41,19,6,0,0,55,1
750000,3,36,11,1,1,0,0,1
2000000,48,25,12,4,1,1,52,1
500000,42,38,16,3,1,0,33,0
750000,58,13,18,1,0,0,67,0
5000000,26,14,8,6,1,1,5,1
100000,42,7,19,1,0,1,44,0
1000000,35,27,9,3,0,1,44,0
750000,44,37,14,4,0,1,69,0
2000000,2,50,18,1,1,1,63,1
500000,32,17,0,1,0,1,51,0
500000,68,19,16,3,1,0,52,1
2000000,33,31,18,1,0,0,56,1
200000,70,4,5,2,1,0,63,0
1000000,63,41,5,2,1,0,25,1
200000,62,26,18,5,0,0,20,0
200000,43,42,1,2,0,0,28,0
500000,75,34,18,1,0,0,34,0
2000000,61,47,7,4,0,0,56,1
1000000,14,34,8,3,1,0,10,1
