budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,buyer_readiness_score,engagement_score,speed_penalty,converted
100000,59,19,2,5,0,1,32,0,42.0,44.44444444444444,0
300000,39,49,11,3,0,1,33,0,85.5,45.83333333333333,0
500000,15,20,8,6,0,0,30,60,32.0,41.66666666666667,0
2000000,74,3,18,4,0,0,6,30,30.0,8.333333333333332,0
300000,89,2,15,5,1,0,5,40,24.5,6.944444444444445,0
5000000,75,24,8,5,0,0,25,30,36.0,34.72222222222222,1
500000,16,35,1,2,0,1,59,60,56.5,81.94444444444444,1
200000,80,33,14,6,1,0,48,40,54.0,66.66666666666666,0
750000,79,21,14,4,0,1,68,30,62.0,94.44444444444444,1
5000000,54,48,13,4,0,1,11,30,87.5,15.277777777777779,1
100000,25,15,16,4,0,1,17,30,59.0,23.61111111111111,1
300000,44,34,13,3,1,1,18,40,73.5,25.0,1
200000,7,8,15,5,0,0,16,30,30.5,22.22222222222222,0
750000,12,10,19,3,0,0,5,60,38.5,6.944444444444445,1
100000,31,29,14,2,0,0,58,0,50.0,80.55555555555556,0
200000,51,28,7,6,1,1,14,40,58.5,19.444444444444446,0
5000000,6,41,2,4,0,0,12,60,44.0,16.666666666666664,0
300000,1,22,2,5,1,0,43,70,25.0,59.72222222222222,1
5000000,16,17,14,3,0,0,72,60,38.0,100.0,1
100000,13,20,16,5,0,1,3,30,64.0,4.166666666666666,1
750000,75,25,1,4,1,1,65,70,46.5,90.27777777777779,1
500000,45,44,9,2,1,1,53,70,77.5,73.61111111111111,1
200000,21,48,11,2,0,0,10,30,64.5,13.88888888888889,1
100000,90,8,5,6,1,0,27,40,15.5,37.5,0
300000,62,40,17,2,0,1,58,0,85.5,80.55555555555556,0
500000,57,48,15,2,1,0,19,70,70.5,26.38888888888889,1
100000,74,50,20,4,1,0,3,40,80.0,4.166666666666666,1
200000,27,11,12,3,0,1,70,30,49.0,97.22222222222221,0
1000000,33,6,9,3,0,0,9,30,19.5,12.5,0
750000,51,11,17,2,0,1,61,30,56.5,84.72222222222221,1
300000,40,46,19,6,0,1,3,0,94.5,4.166666666666666,0
5000000,61,15,1,6,0,0,53,30,16.5,73.61111111111111,0
2000000,41,19,18,5,1,0,37,70,46.0,51.388888888888886,1
750000,72,37,3,4,0,0,37,30,41.5,51.388888888888886,1
100000,88,32,2,6,0,1,6,0,55.0,8.333333333333332,0
500000,63,22,11,4,0,0,50,30,38.5,69.44444444444444,1
750000,35,0,19,3,1,0,13,70,28.5,18.055555555555554,1
1000000,61,3,5,6,0,1,72,30,30.5,100.0,0
5000000,80,40,13,4,1,0,20,70,59.5,27.77777777777778,0
200000,46,45,14,2,1,1,44,40,86.0,61.111111111111114,1
500000,3,49,5,2,1,1,3,100,76.5,4.166666666666666,1
1000000,45,0,0,6,0,0,14,30,0.0,19.444444444444446,0
100000,74,35,18,2,0,1,2,0,82.0,2.7777777777777777,0
1000000,61,6,9,4,1,0,71,70,19.5,98.61111111111111,1
2000000,30,10,8,2,1,1,60,100,42.0,83.33333333333334,1
300000,46,50,13,6,1,0,44,40,69.5,61.111111111111114,1
750000,71,11,2,5,1,1,61,70,34.0,84.72222222222221,0
100000,8,22,8,1,0,1,25,30,54.0,34.72222222222222,0
1000000,88,35,8,6,0,0,4,30,47.0,5.555555555555555,1
750000,83,7,0,1,1,0,0,70,7.000000000000001,0.0,0
1000000,36,1,8,5,1,1,28,70,33.0,38.88888888888889,1
200000,14,4,0,5,1,0,4,70,4.0,5.555555555555555,0
500000,77,26,17,2,0,0,51,30,51.5,70.83333333333334,1
500000,31,12,11,1,1,1,46,70,48.5,63.888888888888886,1
750000,8,6,8,2,0,0,33,60,18.0,45.83333333333333,0
100000,64,1,20,6,0,1,1,0,51.0,1.3888888888888888,0
1000000,62,31,1,2,0,1,18,30,52.5,25.0,0
200000,83,0,11,6,1,1,19,40,36.5,26.38888888888889,0
1000000,5,33,18,2,1,1,71,100,80.0,98.61111111111111,1
300000,16,20,20,5,0,0,17,30,50.0,23.61111111111111,1
100000,28,0,3,3,0,0,54,30,4.5,75.0,0
5000000,15,18,14,2,0,0,21,60,39.0,29.166666666666668,1
2000000,61,36,7,1,1,1,71,70,66.5,98.61111111111111,0
750000,86,28,5,4,0,0,14,30,35.5,19.444444444444446,0
5000000,78,43,12,5,1,0,42,70,61.0,58.333333333333336,1
200000,66,36,7,2,1,0,13,40,46.5,18.055555555555554,0
1000000,85,14,1,6,0,1,59,30,35.5,81.94444444444444,0
200000,77,25,14,6,1,0,5,40,46.0,6.944444444444445,1
1000000,7,15,15,1,0,1,32,60,57.5,44.44444444444444,1
750000,72,40,7,6,0,1,28,30,70.5,38.88888888888889,0
500000,50,41,18,3,0,0,40,30,68.0,55.55555555555556,1
5000000,34,13,19,4,0,0,69,30,41.5,95.83333333333334,1
2000000,26,21,13,5,0,1,23,60,60.5,31.944444444444443,0
2000000,3,1,20,3,1,0,39,100,31.0,54.166666666666664,1
2000000,78,39,17,3,0,1,71,30,84.5,98.61111111111111,1
100000,43,39,9,3,0,0,12,0,52.5,16.666666666666664,0
500000,84,38,1,2,1,0,42,70,39.5,58.333333333333336,0
750000,12,3,5,6,1,1,55,100,30.5,76.38888888888889,1
500000,28,10,5,5,1,0,46,100,17.5,63.888888888888886,1
300000,55,25,11,5,1,0,0,40,41.5,0.0,0
200000,75,33,5,6,0,1,28,0,60.5,38.88888888888889,0
5000000,27,50,0,1,1,1,71,100,70.0,98.61111111111111,1
300000,16,43,7,5,0,1,54,30,73.5,75.0,1
500000,20,39,19,4,1,1,52,100,87.5,72.22222222222221,1
2000000,14,8,18,2,1,1,28,100,55.0,38.88888888888889,1
750000,58,13,18,4,1,0,57,70,40.0,79.16666666666666,1
5000000,64,22,18,1,0,0,46,30,49.0,63.888888888888886,1
100000,45,24,20,4,1,1,12,40,74.0,16.666666666666664,0
500000,83,38,17,5,0,1,36,30,83.5,50.0,0
5000000,13,14,0,5,1,1,16,100,34.0,22.22222222222222,0
